# Stellar evolution track /home/tal/SciTools/synt/tracks/p_new641
# Track based on the Maeder-Meynet (Geneva) evolutionary tracks
# Charbonnel, C., Meynet, G., Maeder, A., Schaller G. & Schaerer, D., 1993, A&AS, 101, 415 
# Track point   0
# Twice solar metallicity tracks
# #   M[M0]     R[R0]     L[L0]   t_MS[yr]  Teff[K]      K  T/t_MS
       M        R         L       T          Teff       K    T_t_ms
 83   48.750 1.029E+01 3.698E+05 4.308E+06 4.436E+04 -4.482 0.0000
 84   48.125 1.021E+01 3.606E+05 4.325E+06 4.426E+04 -4.461 0.0000
 85   47.500 1.017E+01 3.516E+05 4.342E+06 4.406E+04 -4.448 0.0000
 86   46.875 1.009E+01 3.428E+05 4.359E+06 4.395E+04 -4.428 0.0000
 87   46.250 1.001E+01 3.342E+05 4.376E+06 4.385E+04 -4.408 0.0000
 88   45.625 9.939E+00 3.266E+05 4.392E+06 4.375E+04 -4.390 0.0000
 89   45.000 9.860E+00 3.184E+05 4.409E+06 4.365E+04 -4.370 0.0000
 90   44.375 9.780E+00 3.105E+05 4.426E+06 4.355E+04 -4.350 0.0000
 91   43.750 9.747E+00 3.027E+05 4.443E+06 4.335E+04 -4.337 0.0000
 92   43.125 9.669E+00 2.951E+05 4.459E+06 4.325E+04 -4.317 0.0000
 93   42.500 9.602E+00 2.884E+05 4.476E+06 4.315E+04 -4.299 0.0000
 94   41.875 9.525E+00 2.812E+05 4.493E+06 4.305E+04 -4.279 0.0000
 95   41.250 9.448E+00 2.742E+05 4.510E+06 4.295E+04 -4.259 0.0000
 96   40.625 9.373E+00 2.673E+05 4.526E+06 4.285E+04 -4.239 0.0000
 97   40.000 9.308E+00 2.612E+05 4.543E+06 4.276E+04 -4.221 0.0000
 98   39.531 9.233E+00 2.523E+05 4.598E+06 4.256E+04 -4.198 0.0000
 99   39.062 9.170E+00 2.443E+05 4.653E+06 4.236E+04 -4.178 0.0000
100   38.593 9.096E+00 2.360E+05 4.707E+06 4.217E+04 -4.155 0.0000
101   38.125 9.034E+00 2.286E+05 4.762E+06 4.198E+04 -4.134 0.0000
102   37.657 8.930E+00 2.213E+05 4.817E+06 4.188E+04 -4.107 0.0000
103   37.188 8.859E+00 2.138E+05 4.872E+06 4.169E+04 -4.084 0.0000
104   36.719 8.787E+00 2.065E+05 4.926E+06 4.150E+04 -4.061 0.0000
105   36.250 8.717E+00 1.995E+05 4.981E+06 4.130E+04 -4.038 0.0000
106   35.781 8.617E+00 1.932E+05 5.036E+06 4.121E+04 -4.010 0.0000
107   35.312 8.548E+00 1.866E+05 5.091E+06 4.102E+04 -3.987 0.0000
108   34.843 8.479E+00 1.803E+05 5.145E+06 4.083E+04 -3.964 0.0000
109   34.375 8.411E+00 1.742E+05 5.200E+06 4.064E+04 -3.941 0.0000
110   33.907 8.315E+00 1.687E+05 5.255E+06 4.055E+04 -3.914 0.0000
111   33.438 8.248E+00 1.629E+05 5.310E+06 4.036E+04 -3.891 0.0000
112   32.969 8.191E+00 1.578E+05 5.364E+06 4.018E+04 -3.870 0.0000
113   32.500 8.126E+00 1.524E+05 5.419E+06 3.999E+04 -3.847 0.0000
114   32.031 8.023E+00 1.472E+05 5.474E+06 3.990E+04 -3.817 0.0000
115   31.562 7.968E+00 1.426E+05 5.529E+06 3.972E+04 -3.797 0.0000
116   31.094 7.904E+00 1.377E+05 5.583E+06 3.954E+04 -3.774 0.0000
117   30.625 7.850E+00 1.334E+05 5.638E+06 3.936E+04 -3.753 0.0000
118   30.156 7.787E+00 1.288E+05 5.693E+06 3.917E+04 -3.730 0.0000
119   29.688 7.724E+00 1.245E+05 5.748E+06 3.899E+04 -3.707 0.0000
120   29.219 7.662E+00 1.202E+05 5.802E+06 3.882E+04 -3.684 0.0000
121   28.750 7.575E+00 1.164E+05 5.857E+06 3.873E+04 -3.657 0.0000
122   28.281 7.522E+00 1.127E+05 5.912E+06 3.855E+04 -3.636 0.0000
123   27.812 7.462E+00 1.089E+05 5.967E+06 3.837E+04 -3.613 0.0000
124   27.344 7.411E+00 1.054E+05 6.021E+06 3.819E+04 -3.593 0.0000
125   26.875 7.351E+00 1.019E+05 6.076E+06 3.802E+04 -3.570 0.0000
126   26.406 7.292E+00 9.840E+04 6.131E+06 3.784E+04 -3.547 0.0000
127   25.938 7.242E+00 9.528E+04 6.186E+06 3.767E+04 -3.527 0.0000
128   25.469 7.151E+00 9.204E+04 6.240E+06 3.758E+04 -3.496 0.0000
129   25.000 7.102E+00 8.913E+04 6.295E+06 3.741E+04 -3.476 0.0000
130   24.844 7.069E+00 8.750E+04 6.344E+06 3.733E+04 -3.463 0.0000
131   24.688 7.037E+00 8.590E+04 6.393E+06 3.724E+04 -3.450 0.0000
132   24.531 7.012E+00 8.453E+04 6.442E+06 3.715E+04 -3.440 0.0000
133   24.375 6.980E+00 8.299E+04 6.491E+06 3.707E+04 -3.427 0.0000
134   24.219 6.948E+00 8.147E+04 6.540E+06 3.698E+04 -3.415 0.0000
135   24.062 6.956E+00 8.017E+04 6.589E+06 3.681E+04 -3.412 0.0000
136   23.906 6.924E+00 7.870E+04 6.638E+06 3.673E+04 -3.399 0.0000
137   23.750 6.892E+00 7.727E+04 6.687E+06 3.664E+04 -3.386 0.0000
138   23.594 6.861E+00 7.586E+04 6.736E+06 3.656E+04 -3.373 0.0000
139   23.438 6.829E+00 7.447E+04 6.785E+06 3.648E+04 -3.361 0.0000
140   23.281 6.806E+00 7.328E+04 6.834E+06 3.639E+04 -3.351 0.0000
141   23.125 6.774E+00 7.194E+04 6.883E+06 3.631E+04 -3.338 0.0000
142   22.969 6.743E+00 7.063E+04 6.931E+06 3.622E+04 -3.325 0.0000
143   22.812 6.720E+00 6.950E+04 6.980E+06 3.614E+04 -3.315 0.0000
144   22.656 6.689E+00 6.823E+04 7.029E+06 3.606E+04 -3.302 0.0000
145   22.500 6.658E+00 6.699E+04 7.078E+06 3.597E+04 -3.289 0.0000
146   22.344 6.635E+00 6.592E+04 7.127E+06 3.589E+04 -3.279 0.0000
147   22.188 6.605E+00 6.471E+04 7.176E+06 3.581E+04 -3.266 0.0000
148   22.031 6.574E+00 6.353E+04 7.225E+06 3.573E+04 -3.254 0.0000
149   21.875 6.544E+00 6.237E+04 7.274E+06 3.565E+04 -3.241 0.0000
150   21.719 6.552E+00 6.138E+04 7.323E+06 3.548E+04 -3.238 0.0000
151   21.562 6.522E+00 6.026E+04 7.372E+06 3.540E+04 -3.225 0.0000
152   21.406 6.499E+00 5.929E+04 7.421E+06 3.532E+04 -3.215 0.0000
153   21.250 6.469E+00 5.821E+04 7.470E+06 3.524E+04 -3.202 0.0000
154   21.094 6.440E+00 5.715E+04 7.519E+06 3.516E+04 -3.189 0.0000
155   20.938 6.417E+00 5.623E+04 7.568E+06 3.508E+04 -3.179 0.0000
156   20.781 6.388E+00 5.521E+04 7.617E+06 3.499E+04 -3.166 0.0000
157   20.625 6.359E+00 5.420E+04 7.666E+06 3.491E+04 -3.154 0.0000
158   20.469 6.337E+00 5.333E+04 7.715E+06 3.483E+04 -3.143 0.0000
159   20.312 6.308E+00 5.236E+04 7.764E+06 3.475E+04 -3.131 0.0000
160   20.156 6.279E+00 5.140E+04 7.813E+06 3.467E+04 -3.118 0.0000
161   20.000 6.279E+00 5.047E+04 7.862E+06 3.451E+04 -3.112 0.0000
162   19.844 6.257E+00 4.920E+04 7.960E+06 3.436E+04 -3.099 0.0000
163   19.688 6.207E+00 4.797E+04 8.057E+06 3.428E+04 -3.079 0.0000
164   19.531 6.185E+00 4.677E+04 8.155E+06 3.412E+04 -3.066 0.0000
165   19.375 6.171E+00 4.571E+04 8.253E+06 3.396E+04 -3.056 0.0000
166   19.219 6.122E+00 4.457E+04 8.351E+06 3.388E+04 -3.035 0.0000
167   19.062 6.100E+00 4.345E+04 8.449E+06 3.373E+04 -3.022 0.0000
168   18.906 6.079E+00 4.236E+04 8.546E+06 3.357E+04 -3.009 0.0000
169   18.750 6.031E+00 4.130E+04 8.644E+06 3.350E+04 -2.989 0.0000
170   18.594 6.017E+00 4.036E+04 8.742E+06 3.334E+04 -2.979 0.0000
171   18.438 5.968E+00 3.936E+04 8.840E+06 3.327E+04 -2.958 0.0000
172   18.281 5.921E+00 3.837E+04 8.938E+06 3.319E+04 -2.938 0.0000
173   18.125 5.900E+00 3.741E+04 9.036E+06 3.304E+04 -2.925 0.0000
174   17.969 5.880E+00 3.648E+04 9.133E+06 3.289E+04 -2.912 0.0000
175   17.812 5.839E+00 3.565E+04 9.231E+06 3.281E+04 -2.894 0.0000
176   17.656 5.819E+00 3.475E+04 9.329E+06 3.266E+04 -2.881 0.0000
177   17.500 5.799E+00 3.388E+04 9.427E+06 3.251E+04 -2.868 0.0000
178   17.344 5.779E+00 3.304E+04 9.525E+06 3.236E+04 -2.855 0.0000
179   17.188 5.739E+00 3.228E+04 9.623E+06 3.228E+04 -2.837 0.0000
180   17.031 5.720E+00 3.148E+04 9.720E+06 3.214E+04 -2.824 0.0000
181   16.875 5.700E+00 3.069E+04 9.818E+06 3.199E+04 -2.811 0.0000
182   16.719 5.680E+00 2.992E+04 9.916E+06 3.184E+04 -2.798 0.0000
183   16.562 5.635E+00 2.917E+04 1.001E+07 3.177E+04 -2.778 0.0000
184   16.406 5.622E+00 2.851E+04 1.011E+07 3.162E+04 -2.767 0.0000
185   16.250 5.576E+00 2.780E+04 1.021E+07 3.155E+04 -2.747 0.0000
186   16.094 5.557E+00 2.710E+04 1.031E+07 3.141E+04 -2.734 0.0000
187   15.938 5.513E+00 2.642E+04 1.041E+07 3.133E+04 -2.714 0.0000
188   15.781 5.468E+00 2.576E+04 1.050E+07 3.126E+04 -2.693 0.0000
189   15.625 5.450E+00 2.512E+04 1.060E+07 3.112E+04 -2.680 0.0000
190   15.469 5.431E+00 2.449E+04 1.070E+07 3.097E+04 -2.667 0.0000
191   15.312 5.387E+00 2.388E+04 1.080E+07 3.090E+04 -2.647 0.0000
192   15.156 5.369E+00 2.328E+04 1.089E+07 3.076E+04 -2.634 0.0000
193   15.000 5.356E+00 2.275E+04 1.099E+07 3.062E+04 -2.623 0.0000
194   14.906 5.350E+00 2.228E+04 1.112E+07 3.048E+04 -2.615 0.0000
195   14.812 5.319E+00 2.183E+04 1.125E+07 3.041E+04 -2.600 0.0000
196   14.719 5.313E+00 2.138E+04 1.137E+07 3.027E+04 -2.592 0.0000
197   14.625 5.283E+00 2.094E+04 1.150E+07 3.020E+04 -2.577 0.0000
198   14.531 5.252E+00 2.051E+04 1.163E+07 3.013E+04 -2.561 0.0000
199   14.438 5.246E+00 2.009E+04 1.175E+07 2.999E+04 -2.553 0.0000
200   14.344 5.216E+00 1.968E+04 1.188E+07 2.992E+04 -2.538 0.0000
201   14.250 5.210E+00 1.928E+04 1.201E+07 2.979E+04 -2.530 0.0000
202   14.156 5.198E+00 1.884E+04 1.214E+07 2.965E+04 -2.519 0.0000
203   14.062 5.168E+00 1.845E+04 1.226E+07 2.958E+04 -2.504 0.0000
204   13.969 5.139E+00 1.807E+04 1.239E+07 2.951E+04 -2.489 0.0000
205   13.875 5.109E+00 1.770E+04 1.252E+07 2.944E+04 -2.474 0.0000
206   13.781 5.103E+00 1.734E+04 1.264E+07 2.931E+04 -2.465 0.0000
207   13.688 5.074E+00 1.698E+04 1.277E+07 2.924E+04 -2.450 0.0000
208   13.594 5.068E+00 1.663E+04 1.290E+07 2.911E+04 -2.442 0.0000
209   13.500 5.039E+00 1.629E+04 1.303E+07 2.904E+04 -2.427 0.0000
210   13.406 5.010E+00 1.596E+04 1.315E+07 2.897E+04 -2.411 0.0000
211   13.312 5.005E+00 1.563E+04 1.328E+07 2.884E+04 -2.403 0.0000
212   13.219 4.993E+00 1.528E+04 1.341E+07 2.871E+04 -2.393 0.0000
213   13.125 4.964E+00 1.496E+04 1.353E+07 2.864E+04 -2.377 0.0000
214   13.031 4.959E+00 1.466E+04 1.366E+07 2.851E+04 -2.369 0.0000
215   12.938 4.930E+00 1.435E+04 1.379E+07 2.844E+04 -2.354 0.0000
216   12.844 4.902E+00 1.406E+04 1.391E+07 2.838E+04 -2.339 0.0000
217   12.750 4.896E+00 1.377E+04 1.404E+07 2.825E+04 -2.331 0.0000
218   12.656 4.868E+00 1.349E+04 1.417E+07 2.818E+04 -2.315 0.0000
219   12.562 4.840E+00 1.321E+04 1.430E+07 2.812E+04 -2.300 0.0000
220   12.469 4.807E+00 1.291E+04 1.442E+07 2.805E+04 -2.282 0.0000
221   12.375 4.801E+00 1.265E+04 1.455E+07 2.793E+04 -2.274 0.0000
222   12.281 4.796E+00 1.239E+04 1.468E+07 2.780E+04 -2.266 0.0000
